cell_line,split,name,estimator,embedding,primary_metric,L2,MSE,MAE,Spearman,Pearson,path
A549,heldout_molecules,lasso_baseline_chatgpt,lasso,chatgpt,L2,7.377884303202331,0.0033266803070694795,0.02570818846949597,0.23921786737897954,0.32788815973478636,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-41.310967.json
A549,heldout_molecules,lasso_baseline_ecfp,lasso,ecfp,L2,7.389748755710123,0.003321956382808223,0.02591673900552929,0.23025784349344064,0.2904649720237065,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-44.279875.json
A549,heldout_molecules,lasso_baseline_erg,lasso,erg,L2,7.285184848704913,0.003379090439404791,0.02576771055268188,0.21503143111163375,0.26592474579229386,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-44.106947.json
A549,heldout_molecules,lasso_baseline_fcfp,lasso,fcfp,L2,7.393649784552271,0.003315191889025074,0.025928323383684993,0.22781136098414742,0.2832563672601035,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-47.954043.json
A549,heldout_molecules,lasso_baseline_maccs,lasso,maccs,L2,7.3955769307071835,0.00335607662832644,0.025891693471873974,0.21586643928034088,0.2650088954558406,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-51.352357.json
A549,heldout_molecules,lasso_baseline_morgan_initialized_lpm,lasso,morgan_initialized_lpm,L2,7.306677299810461,0.0032748695144213897,0.025809319213691125,0.21496303655963317,0.24923763556650205,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-09.276917.json
A549,heldout_molecules,lasso_baseline_pca,lasso,pca,L2,4.750762140834245,0.0013311390828858098,0.018850545596561248,0.4938984471225575,0.6929635334272677,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-23.036503.json
A549,heldout_molecules,lasso_baseline_random,lasso,random,L2,7.286461396114374,0.0033864660522753844,0.02577023730794784,0.21458728694207455,0.26352300339143825,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-11.284921.json
A549,heldout_molecules,lasso_baseline_secfp,lasso,secfp,L2,7.450904875336965,0.0033914946106665483,0.026034114225359246,0.22988114409941668,0.285393542512701,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-55.941391.json
A549,heldout_molecules,lasso_baseline_topological,lasso,topological,L2,7.262500829877771,0.0033347102696918347,0.025715573737553937,0.2170866917401365,0.28143318565856384,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-57.201637.json
K562,heldout_molecules,knn_baseline_ChemBERTa-77M-MLM,knn,ChemBERTa-77M-MLM,L2,7.1144693214138135,0.003054576122021416,0.025946032997385498,0.20898599813859092,0.2732206915289054,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-01.467561.json
K562,heldout_molecules,knn_baseline_ChemBERTa-77M-MTR,knn,ChemBERTa-77M-MTR,L2,7.057805598475387,0.0030133749574213055,0.02582186244576009,0.2156396625747058,0.29850010119062254,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-03.632201.json
K562,heldout_molecules,knn_baseline_avalon,knn,avalon,L2,7.077247620074717,0.0030633963711396727,0.02580104520976228,0.21305102837384632,0.27299794990626663,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-05.298711.json
K562,heldout_molecules,knn_baseline_cats2D,knn,cats2D,L2,7.07882632331099,0.0030703074414733618,0.025939646007878642,0.19977122280464135,0.2830373710402899,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-05.898011.json
K562,heldout_molecules,knn_baseline_cats3D,knn,cats3D,L2,7.03435761181218,0.003010914304558176,0.025795763801736846,0.20866310815697683,0.3000416498794535,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-07.972170.json
