,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
84,expression/pert_prediction_tahoe_regression,CVCL_1666.1,"{'primary_metric': 'L2', 'L2': 4.833600663863805, 'MSE': 0.0017718709557323035, 'MAE': 0.01624943504955792, 'Spearman': 0.5247032400410095, 'Pearson': 0.6660834654506935}",knn_baseline_LPM_emb,L2,4.833600663863805,0.0017718709557323035,0.01624943504955792,0.5247032400410095,0.6660834654506935,CVCL_1666
85,expression/pert_prediction_tahoe_regression,CVCL_1693.1,"{'primary_metric': 'L2', 'L2': 3.9577031237956497, 'MSE': 0.0010839248773959987, 'MAE': 0.013667567929818937, 'Spearman': 0.5519927131239146, 'Pearson': 0.6803746620087343}",knn_baseline_LPM_emb,L2,3.9577031237956497,0.0010839248773959987,0.013667567929818937,0.5519927131239146,0.6803746620087343,CVCL_1693
86,expression/pert_prediction_tahoe_regression,CVCL_1717.1,"{'primary_metric': 'L2', 'L2': 4.191169232827816, 'MSE': 0.0011992248877150775, 'MAE': 0.014167496291938201, 'Spearman': 0.5372011137552789, 'Pearson': 0.6784959934307574}",knn_baseline_LPM_emb,L2,4.191169232827816,0.0011992248877150775,0.014167496291938201,0.5372011137552789,0.6784959934307574,CVCL_1717
87,expression/pert_prediction_tahoe_regression,CVCL_1724.1,"{'primary_metric': 'L2', 'L2': 5.296661975468573, 'MSE': 0.002021812398464438, 'MAE': 0.017909362728227796, 'Spearman': 0.5095274088855933, 'Pearson': 0.6544939941820732}",knn_baseline_LPM_emb,L2,5.296661975468573,0.002021812398464438,0.017909362728227796,0.5095274088855933,0.6544939941820732,CVCL_1724
88,expression/pert_prediction_tahoe_regression,CVCL_1731.1,"{'primary_metric': 'L2', 'L2': 4.711014089693732, 'MSE': 0.0015545491713908435, 'MAE': 0.015481277900905093, 'Spearman': 0.5419609916630996, 'Pearson': 0.6866272425360168}",knn_baseline_LPM_emb,L2,4.711014089693732,0.0015545491713908435,0.015481277900905093,0.5419609916630996,0.6866272425360168,CVCL_1731
89,expression/pert_prediction_tahoe_regression,CVCL_C466.1,"{'primary_metric': 'L2', 'L2': 4.755441913146732, 'MSE': 0.00156591650194278, 'MAE': 0.01502127048323456, 'Spearman': 0.5267167874063338, 'Pearson': 0.6858458984315569}",knn_baseline_LPM_emb,L2,4.755441913146732,0.00156591650194278,0.01502127048323456,0.5267167874063338,0.6858458984315569,CVCL_C466
90,expression/pert_prediction_tahoe_regression,CVCL_0023.2,"{'primary_metric': 'L2', 'L2': 4.961856971396207, 'MSE': 0.0017808333537037977, 'MAE': 0.015137222659312739, 'Spearman': 0.5646624117533933, 'Pearson': 0.6974394862891405}",knn_baseline_LPM_emb,L2,4.961856971396207,0.0017808333537037977,0.015137222659312739,0.5646624117533933,0.6974394862891405,CVCL_0023
91,expression/pert_prediction_tahoe_regression,CVCL_0028.2,"{'primary_metric': 'L2', 'L2': 5.236187485640434, 'MSE': 0.0017602179750551327, 'MAE': 0.018999174246477353, 'Spearman': 0.48594114095444624, 'Pearson': 0.62121709788122}",knn_baseline_LPM_emb,L2,5.236187485640434,0.0017602179750551327,0.018999174246477353,0.48594114095444624,0.62121709788122,CVCL_0028
92,expression/pert_prediction_tahoe_regression,CVCL_0069.2,"{'primary_metric': 'L2', 'L2': 4.514289872929458, 'MSE': 0.001483651211949108, 'MAE': 0.01521826376801256, 'Spearman': 0.5509280131616726, 'Pearson': 0.6936441396019059}",knn_baseline_LPM_emb,L2,4.514289872929458,0.001483651211949108,0.01521826376801256,0.5509280131616726,0.6936441396019059,CVCL_0069
93,expression/pert_prediction_tahoe_regression,CVCL_0099.2,"{'primary_metric': 'L2', 'L2': 4.424584833100151, 'MSE': 0.001362960570053973, 'MAE': 0.01454299137642385, 'Spearman': 0.5192347986515997, 'Pearson': 0.6775070457828498}",knn_baseline_LPM_emb,L2,4.424584833100151,0.001362960570053973,0.01454299137642385,0.5192347986515997,0.6775070457828498,CVCL_0099
94,expression/pert_prediction_tahoe_regression,CVCL_0131.2,"{'primary_metric': 'L2', 'L2': 5.080151621354273, 'MSE': 0.002031707087652265, 'MAE': 0.016287560400415835, 'Spearman': 0.5657328694284456, 'Pearson': 0.6954440401448093}",knn_baseline_LPM_emb,L2,5.080151621354273,0.002031707087652265,0.016287560400415835,0.5657328694284456,0.6954440401448093,CVCL_0131
