,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
0,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 6.137483357101453, 'MSE': 0.0024023150056350635, 'MAE': 0.019357101145219647, 'Spearman': 0.2702028234664763, 'Pearson': 0.37726456284612214}",knn_baseline_PCA.logFC_v1_64,L2,6.137483357101453,0.0024023150056350635,0.019357101145219647,0.2702028234664763,0.37726456284612214,CVCL_0320
1,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 6.1338003281211115, 'MSE': 0.0023814267303583635, 'MAE': 0.01934035562863096, 'Spearman': 0.27340532628171926, 'Pearson': 0.38128054330321565}",knn_baseline_PCA.t_v1_64,L2,6.1338003281211115,0.0023814267303583635,0.01934035562863096,0.27340532628171926,0.38128054330321565,CVCL_0320
2,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 4.424918553928522, 'MSE': 0.0014513582106530467, 'MAE': 0.014181212951773381, 'Spearman': 0.5762950750090752, 'Pearson': 0.7597070370887323}",knn_baseline_pca,L2,4.424918553928522,0.0014513582106530467,0.014181212951773381,0.5762950750090752,0.7597070370887323,CVCL_0320
3,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 6.098891514988072, 'MSE': 0.0024177461120859214, 'MAE': 0.01923840297350005, 'Spearman': 0.2788874360457831, 'Pearson': 0.3854306326809667}",knn_baseline_random,L2,6.098891514988072,0.0024177461120859214,0.01923840297350005,0.2788874360457831,0.3854306326809667,CVCL_0320
4,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 6.116022620051259, 'MSE': 0.002418968891407445, 'MAE': 0.019288145080963926, 'Spearman': 0.27184145357874473, 'Pearson': 0.3825440281330923}",knn_baseline_PCA.logFC_v2_64,L2,6.116022620051259,0.002418968891407445,0.019288145080963926,0.27184145357874473,0.3825440281330923,CVCL_0320
5,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 6.119565515120371, 'MSE': 0.002396863452954848, 'MAE': 0.019310167665737298, 'Spearman': 0.2713650727182422, 'Pearson': 0.3839220779210063}",knn_baseline_PCA.t_v2_64,L2,6.119565515120371,0.002396863452954848,0.019310167665737298,0.2713650727182422,0.3839220779210063,CVCL_0320
6,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 6.108147154250252, 'MSE': 0.0023973921025515622, 'MAE': 0.019268591989143977, 'Spearman': 0.27447404234226186, 'Pearson': 0.38578218038480505}",knn_baseline_PCA.logFC_v2_128,L2,6.108147154250252,0.0023973921025515622,0.019268591989143977,0.27447404234226186,0.38578218038480505,CVCL_0320
7,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 6.121260830931444, 'MSE': 0.002386321174405629, 'MAE': 0.019326645488658294, 'Spearman': 0.2712652517897256, 'Pearson': 0.38560383152502686}",knn_baseline_PCA.t_v2_128,L2,6.121260830931444,0.002386321174405629,0.019326645488658294,0.2712652517897256,0.38560383152502686,CVCL_0320
8,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 6.129271321837769, 'MSE': 0.0023989154013476467, 'MAE': 0.01934131737551466, 'Spearman': 0.2670161681404645, 'Pearson': 0.37710753694412946}",knn_baseline_PCA.logFC_v3_64,L2,6.129271321837769,0.0023989154013476467,0.01934131737551466,0.2670161681404645,0.37710753694412946,CVCL_0320
9,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 6.1396237320910805, 'MSE': 0.002427455904635479, 'MAE': 0.019371750744171478, 'Spearman': 0.2679324356164112, 'Pearson': 0.37800349026564645}",knn_baseline_PCA.t_v3_64,L2,6.1396237320910805,0.002427455904635479,0.019371750744171478,0.2679324356164112,0.37800349026564645,CVCL_0320
