,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
0,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.464166113282877, 'MSE': 0.0015896994896740912, 'MAE': 0.016901100825570548, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,5.464166113282877,0.0015896994896740912,0.016901100825570548,,,CVCL_0023
1,expression/pert_prediction_tahoe_regression,CVCL_0023.1,"{'primary_metric': 'L2', 'L2': 5.490249554743508, 'MSE': 0.001613185251232347, 'MAE': 0.01696550925604257, 'Spearman': 0.28772532553393104, 'Pearson': 0.30748967865431764}",context mean baseline,L2,5.490249554743508,0.001613185251232347,0.01696550925604257,0.28772532553393104,0.30748967865431764,CVCL_0023
2,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.294228561620686, 'MSE': 0.0015149988341866699, 'MAE': 0.016539953550927248, 'Spearman': 0.22782043395563162, 'Pearson': 0.28473887780645635}",context mean baseline,L2,5.294228561620686,0.0015149988341866699,0.016539953550927248,0.22782043395563162,0.28473887780645635,CVCL_0023
3,expression/pert_prediction_tahoe_regression,CVCL_0023.1,"{'primary_metric': 'L2', 'L2': 5.787035474025624, 'MSE': 0.0017639161073553411, 'MAE': 0.018044253769470837, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,5.787035474025624,0.0017639161073553411,0.018044253769470837,,,CVCL_0023
4,expression/pert_prediction_tahoe_regression,CVCL_0023.2,"{'primary_metric': 'L2', 'L2': 5.689904718037258, 'MSE': 0.0017088930801992292, 'MAE': 0.017343567093766537, 'Spearman': 0.26334332036844477, 'Pearson': 0.36072325665719807}",context mean baseline,L2,5.689904718037258,0.0017088930801992292,0.017343567093766537,0.26334332036844477,0.36072325665719807,CVCL_0023
5,expression/pert_prediction_tahoe_regression,CVCL_0023.2,"{'primary_metric': 'L2', 'L2': 6.076116316144216, 'MSE': 0.0019235949373989658, 'MAE': 0.01817339743301462, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,6.076116316144216,0.0019235949373989658,0.01817339743301462,,,CVCL_0023
6,expression/pert_prediction_tahoe_regression,CVCL_0023.3,"{'primary_metric': 'L2', 'L2': 6.798763493272102, 'MSE': 0.0030456028075680607, 'MAE': 0.020852023895152134, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,6.798763493272102,0.0030456028075680607,0.020852023895152134,,,CVCL_0023
7,expression/pert_prediction_tahoe_regression,CVCL_0023.3,"{'primary_metric': 'L2', 'L2': 6.343609702935063, 'MSE': 0.0028067542301111453, 'MAE': 0.019538596851283157, 'Spearman': 0.3087825828084805, 'Pearson': 0.3744840139883938}",context mean baseline,L2,6.343609702935063,0.0028067542301111453,0.019538596851283157,0.3087825828084805,0.3744840139883938,CVCL_0023
8,expression/pert_prediction_tahoe_regression,CVCL_0023.4,"{'primary_metric': 'L2', 'L2': 6.339266931964763, 'MSE': 0.0025777787508887446, 'MAE': 0.019118305780026323, 'Spearman': 0.3443160344576278, 'Pearson': 0.3933595574403261}",context mean baseline,L2,6.339266931964763,0.0025777787508887446,0.019118305780026323,0.3443160344576278,0.3933595574403261,CVCL_0023
9,expression/pert_prediction_tahoe_regression,CVCL_0023.4,"{'primary_metric': 'L2', 'L2': 6.859633266684811, 'MSE': 0.002906881899579695, 'MAE': 0.020858536581197514, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,6.859633266684811,0.002906881899579695,0.020858536581197514,,,CVCL_0023
10,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.13090944097258, 'MSE': 0.0014236363361722457, 'MAE': 0.015989326102766023, 'Spearman': 0.26989925601505027, 'Pearson': 0.3418441567994174}",knn_baseline_random,L2,5.13090944097258,0.0014236363361722457,0.015989326102766023,0.26989925601505027,0.3418441567994174,CVCL_0023
11,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.246792043597536, 'MSE': 0.001506170692772729, 'MAE': 0.016331649566630448, 'Spearman': 0.24266944510835764, 'Pearson': 0.3001019524268189}",knn_baseline_PCA.logFC_v1_64,L2,5.246792043597536,0.001506170692772729,0.016331649566630448,0.24266944510835764,0.3001019524268189,CVCL_0023
12,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 3.768059682325874, 'MSE': 0.0007568119210558798, 'MAE': 0.012027482055614672, 'Spearman': 0.5284411928519354, 'Pearson': 0.6866171910308952}",knn_baseline_pca,L2,3.768059682325874,0.0007568119210558798,0.012027482055614672,0.5284411928519354,0.6866171910308952,CVCL_0023
13,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.297564528807557, 'MSE': 0.0015207048236832725, 'MAE': 0.01661487853439274, 'Spearman': 0.2220269030227245, 'Pearson': 0.28208776314489814}",knn_baseline_PCA.t_v1_64,L2,5.297564528807557,0.0015207048236832725,0.01661487853439274,0.2220269030227245,0.28208776314489814,CVCL_0023
14,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.2183395628855, 'MSE': 0.0014811523862411223, 'MAE': 0.016259068165842223, 'Spearman': 0.244134288981631, 'Pearson': 0.29983342127731794}",knn_baseline_PCA.logFC_v2_64,L2,5.2183395628855,0.0014811523862411223,0.016259068165842223,0.244134288981631,0.29983342127731794,CVCL_0023
15,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.224995948760556, 'MSE': 0.00147871358686876, 'MAE': 0.016294688574978233, 'Spearman': 0.24444690225512675, 'Pearson': 0.3026020798212573}",knn_baseline_PCA.logFC_v2_128,L2,5.224995948760556,0.00147871358686876,0.016294688574978233,0.24444690225512675,0.3026020798212573,CVCL_0023
16,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.222204305763903, 'MSE': 0.0014716311442547654, 'MAE': 0.01629526513129015, 'Spearman': 0.24381841398854598, 'Pearson': 0.3084465020488824}",knn_baseline_PCA.t_v2_64,L2,5.222204305763903,0.0014716311442547654,0.01629526513129015,0.24381841398854598,0.3084465020488824,CVCL_0023
17,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.235094296414891, 'MSE': 0.0014842601833127203, 'MAE': 0.016340863953290923, 'Spearman': 0.2429567043989973, 'Pearson': 0.3042096043931022}",knn_baseline_PCA.t_v2_128,L2,5.235094296414891,0.0014842601833127203,0.016340863953290923,0.2429567043989973,0.3042096043931022,CVCL_0023
18,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.214689654951759, 'MSE': 0.0014722477559756422, 'MAE': 0.01625151049245376, 'Spearman': 0.24499335539214562, 'Pearson': 0.30412729140562744}",knn_baseline_PCA.logFC_v3_64,L2,5.214689654951759,0.0014722477559756422,0.01625151049245376,0.24499335539214562,0.30412729140562744,CVCL_0023
19,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.280938889432978, 'MSE': 0.0015069297649837339, 'MAE': 0.01646735565226136, 'Spearman': 0.23331105218797998, 'Pearson': 0.2875863369935444}",knn_baseline_PCA.t_v3_64,L2,5.280938889432978,0.0015069297649837339,0.01646735565226136,0.23331105218797998,0.2875863369935444,CVCL_0023
20,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 5.245983376070928, 'MSE': 0.0014873101040332418, 'MAE': 0.01637568149451624, 'Spearman': 0.24102879975646285, 'Pearson': 0.29984300297405}",knn_baseline_PCA.t_v3_128,L2,5.245983376070928,0.0014873101040332418,0.01637568149451624,0.24102879975646285,0.29984300297405,CVCL_0023
