cell_line,split,name,estimator,embedding,primary_metric,L2,MSE,MAE,Spearman,Pearson,path
CVCL_0480,heldout_molecules,knn_baseline_MolT5,knn,MolT5,L2,5.570244080195449,0.002203280745954697,0.01776062143513462,0.37564323029001784,0.4659667803278158,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-16.551364.json
CVCL_0480,heldout_molecules,knn_baseline_avalon,knn,avalon,L2,5.526688940209742,0.0022159883620833146,0.017590955141319135,0.3840863923561471,0.4778962732180678,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-23.874217.json
CVCL_0480,heldout_molecules,knn_baseline_boltz_affinity_pred_value_fragment,knn,boltz_affinity_pred_value_fragment,L2,5.518436137239845,0.0021818403185159467,0.017584861988791604,0.38899645459436405,0.48317365709311416,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-51.121969.json
CVCL_0480,heldout_molecules,knn_baseline_boltz_affinity_pred_value_protein,knn,boltz_affinity_pred_value_protein,L2,5.522969497426022,0.0021929480087934795,0.017596942842364655,0.3868784719361688,0.48058690148197236,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-16.892921.json
CVCL_0480,heldout_molecules,knn_baseline_chatgpt,knn,chatgpt,L2,5.522947181612462,0.0021494151663122188,0.017678108164505574,0.3776615286527708,0.47512532906446625,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-34.087867.json
CVCL_0480,heldout_molecules,knn_baseline_ecfp:2,knn,ecfp:2,L2,5.491319029675546,0.0021834443266937668,0.017510969121311584,0.3907384193067279,0.4888474530150051,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-23.700906.json
CVCL_0480,heldout_molecules,knn_baseline_erg,knn,erg,L2,5.5466796961011875,0.002208932101203127,0.017700484663100882,0.37757322471687377,0.4726193539444478,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-16.354573.json
CVCL_0480,heldout_molecules,knn_baseline_maccs,knn,maccs,L2,5.520489140270191,0.0021974492317064997,0.01760120959161784,0.3863929189934567,0.480455228303855,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-38.423452.json
CVCL_0480,heldout_molecules,knn_baseline_morgan_initialized_lpm,knn,morgan_initialized_lpm,L2,5.550402264866158,0.002233060420820185,0.017667197154202643,0.3769138555663739,0.46422008389660646,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-27.793617.json
CVCL_0480,heldout_molecules,knn_baseline_pca,knn,pca,L2,3.671654896204132,0.0012235686416181442,0.01181115906586767,0.6730437294514531,0.810138058427845,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-27.510291.json
CVCL_0480,heldout_molecules,knn_baseline_random,knn,random,L2,5.56777825459384,0.002219854905565783,0.017759645556935093,0.3738611292095271,0.46629873873433236,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-27.799626.json
CVCL_0480,heldout_molecules,knn_baseline_secfp,knn,secfp,L2,5.52506955196683,0.0022323497809108727,0.01758629706117283,0.38746382955918746,0.4838803938347823,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-17.418367.json
CVCL_0480,heldout_molecules,knn_baseline_topological,knn,topological,L2,5.540716865924009,0.002225875413917239,0.017667835539016324,0.38148436209296793,0.4761090683341223,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-45.247686.json
CVCL_0480,heldout_molecules,knn_baseline_unimol2-570m-H,knn,unimol2-570m-H,L2,5.560097769710744,0.0022068646112904586,0.017753907083266497,0.37520746035575003,0.4689538831214864,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-29.719547.json
CVCL_0480,heldout_molecules,lasso_baseline_ChemBERTa-77M-MLM,lasso,ChemBERTa-77M-MLM,L2,5.510496160578654,0.0021910672064068696,0.017562368001152663,0.38688068977519463,0.4822564745708094,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-49.353108.json
CVCL_0480,heldout_molecules,lasso_baseline_ChemBERTa-77M-MTR,lasso,ChemBERTa-77M-MTR,L2,5.5117515307560065,0.002194732459126168,0.01756401197583096,0.3865751173516742,0.4820441578375617,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-41.941138.json
CVCL_0480,heldout_molecules,lasso_baseline_MiniMol,lasso,MiniMol,L2,5.50592955096233,0.0021895475161994088,0.017554686273930236,0.38695667831159203,0.48385221753586694,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-59.130460.json
CVCL_0480,heldout_molecules,lasso_baseline_MolT5,lasso,MolT5,L2,5.517913080496347,0.002188548811975224,0.017578010716974842,0.3857789945269154,0.47942984400253047,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-28.139707.json
CVCL_0480,heldout_molecules,lasso_baseline_avalon,lasso,avalon,L2,5.524153747977609,0.0021905974873220073,0.01758745817644666,0.3861961125197605,0.477521787737548,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-39.495836.json
