,dataset,fold,metrics,name,roc_auc,average_precision,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,cell_line,quantile
0,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.2328166961669922, 'average_precision': 0.6744996905326843, 'f1_score': 0.6517266035079956, 'recall': 0.6744996905326843, 'precision': 0.6365465521812439, 'primary_metric': 'f1_score'}",prior,0.2328166961669922,0.6744996905326843,0.6517266035079956,0.6744996905326843,0.6365465521812439,,,f1_score,CVCL_0320,
1,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.2328166961669922, 'average_precision': 0.6744996905326843, 'f1_score': 0.6517266035079956, 'recall': 0.6744996905326843, 'precision': 0.6365465521812439, 'primary_metric': 'f1_score'}",most_frequent,0.2328166961669922,0.6744996905326843,0.6517266035079956,0.6744996905326843,0.6365465521812439,,,f1_score,CVCL_0320,
2,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.2328166961669922, 'average_precision': 0.6744996905326843, 'f1_score': 0.6515799164772034, 'recall': 0.6744996905326843, 'precision': 0.636407196521759, 'primary_metric': 'f1_score'}",no_change,0.2328166961669922,0.6744996905326843,0.6515799164772034,0.6744996905326843,0.636407196521759,,,f1_score,CVCL_0320,
3,expression/pert_prediction_tahoe_deg,CVCL_0320.1,"{'roc_auc': 0.2307853251695633, 'average_precision': 0.6744244694709778, 'f1_score': 0.645935595035553, 'recall': 0.6744244694709778, 'precision': 0.6276594996452332, 'primary_metric': 'f1_score'}",no_change,0.2307853251695633,0.6744244694709778,0.645935595035553,0.6744244694709778,0.6276594996452332,,,f1_score,CVCL_0320,
4,expression/pert_prediction_tahoe_deg,CVCL_0320.1,"{'roc_auc': 0.2307853251695633, 'average_precision': 0.6744244694709778, 'f1_score': 0.6464604735374451, 'recall': 0.6744244694709778, 'precision': 0.6282171607017517, 'primary_metric': 'f1_score'}",prior,0.2307853251695633,0.6744244694709778,0.6464604735374451,0.6744244694709778,0.6282171607017517,,,f1_score,CVCL_0320,
5,expression/pert_prediction_tahoe_deg,CVCL_0320.1,"{'roc_auc': 0.2307853251695633, 'average_precision': 0.6744244694709778, 'f1_score': 0.6464604735374451, 'recall': 0.6744244694709778, 'precision': 0.6282171607017517, 'primary_metric': 'f1_score'}",most_frequent,0.2307853251695633,0.6744244694709778,0.6464604735374451,0.6744244694709778,0.6282171607017517,,,f1_score,CVCL_0320,
6,expression/pert_prediction_tahoe_deg,CVCL_0320.2,"{'roc_auc': 0.25391650199890137, 'average_precision': 0.6399240493774414, 'f1_score': 0.6006948351860046, 'recall': 0.6396481990814209, 'precision': 0.5767898559570312, 'primary_metric': 'f1_score'}",no_change,0.25391650199890137,0.6399240493774414,0.6006948351860046,0.6396481990814209,0.5767898559570312,,,f1_score,CVCL_0320,
7,expression/pert_prediction_tahoe_deg,CVCL_0320.2,"{'roc_auc': 0.25391650199890137, 'average_precision': 0.6399240493774414, 'f1_score': 0.6020214557647705, 'recall': 0.6398488283157349, 'precision': 0.5781030058860779, 'primary_metric': 'f1_score'}",most_frequent,0.25391650199890137,0.6399240493774414,0.6020214557647705,0.6398488283157349,0.5781030058860779,,,f1_score,CVCL_0320,
8,expression/pert_prediction_tahoe_deg,CVCL_0320.2,"{'roc_auc': 0.25391650199890137, 'average_precision': 0.6399240493774414, 'f1_score': 0.6020214557647705, 'recall': 0.6398488283157349, 'precision': 0.5781030058860779, 'primary_metric': 'f1_score'}",prior,0.25391650199890137,0.6399240493774414,0.6020214557647705,0.6398488283157349,0.5781030058860779,,,f1_score,CVCL_0320,
9,expression/pert_prediction_tahoe_deg,CVCL_0320.3,"{'roc_auc': 0.24043236672878265, 'average_precision': 0.6649780869483948, 'f1_score': 0.6358454823493958, 'recall': 0.6649780869483948, 'precision': 0.6173494458198547, 'primary_metric': 'f1_score'}",no_change,0.24043236672878265,0.6649780869483948,0.6358454823493958,0.6649780869483948,0.6173494458198547,,,f1_score,CVCL_0320,
10,expression/pert_prediction_tahoe_deg,CVCL_0320.3,"{'roc_auc': 0.24043236672878265, 'average_precision': 0.6649780869483948, 'f1_score': 0.6360082030296326, 'recall': 0.6649780869483948, 'precision': 0.6175333261489868, 'primary_metric': 'f1_score'}",most_frequent,0.24043236672878265,0.6649780869483948,0.6360082030296326,0.6649780869483948,0.6175333261489868,,,f1_score,CVCL_0320,
11,expression/pert_prediction_tahoe_deg,CVCL_0320.3,"{'roc_auc': 0.24043236672878265, 'average_precision': 0.6649780869483948, 'f1_score': 0.6360082030296326, 'recall': 0.6649780869483948, 'precision': 0.6175333261489868, 'primary_metric': 'f1_score'}",prior,0.24043236672878265,0.6649780869483948,0.6360082030296326,0.6649780869483948,0.6175333261489868,,,f1_score,CVCL_0320,
12,expression/pert_prediction_tahoe_deg,CVCL_0320.4,"{'roc_auc': 0.26088008284568787, 'average_precision': 0.6349334120750427, 'f1_score': 0.6069566607475281, 'recall': 0.6349334120750427, 'precision': 0.588267982006073, 'primary_metric': 'f1_score'}",no_change,0.26088008284568787,0.6349334120750427,0.6069566607475281,0.6349334120750427,0.588267982006073,,,f1_score,CVCL_0320,
13,expression/pert_prediction_tahoe_deg,CVCL_0320.4,"{'roc_auc': 0.26088008284568787, 'average_precision': 0.6349334120750427, 'f1_score': 0.6074838042259216, 'recall': 0.6349334120750427, 'precision': 0.5888329744338989, 'primary_metric': 'f1_score'}",prior,0.26088008284568787,0.6349334120750427,0.6074838042259216,0.6349334120750427,0.5888329744338989,,,f1_score,CVCL_0320,
14,expression/pert_prediction_tahoe_deg,CVCL_0320.4,"{'roc_auc': 0.26088008284568787, 'average_precision': 0.6349334120750427, 'f1_score': 0.6074838042259216, 'recall': 0.6349334120750427, 'precision': 0.5888329744338989, 'primary_metric': 'f1_score'}",most_frequent,0.26088008284568787,0.6349334120750427,0.6074838042259216,0.6349334120750427,0.5888329744338989,,,f1_score,CVCL_0320,
15,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.24469023942947388, 'average_precision': 0.7175878882408142, 'f1_score': 0.668258011341095, 'recall': 0.6752080917358398, 'precision': 0.6734990477561951, 'primary_metric': 'f1_score'}",random,0.24469023942947388,0.7175878882408142,0.668258011341095,0.6752080917358398,0.6734990477561951,,,f1_score,CVCL_0320,
16,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.22630912065505981, 'average_precision': 0.7093835473060608, 'f1_score': 0.6656277775764465, 'recall': 0.6707875728607178, 'precision': 0.66887366771698, 'primary_metric': 'f1_score'}",PCA.logFC_v1_64,0.22630912065505981,0.7093835473060608,0.6656277775764465,0.6707875728607178,0.66887366771698,,,f1_score,CVCL_0320,
