,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
0,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.424958533945996, 'MSE': 0.004221308922485512, 'MAE': 0.025565804541281417, 'Spearman': 0.26679696116557383, 'Pearson': 0.338581501950997}",knn_baseline_LPM_emb_0521_170ep,L2,7.424958533945996,0.004221308922485512,0.025565804541281417,0.26679696116557383,0.338581501950997,MCF7
1,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.358487429400472, 'MSE': 0.003958792546906814, 'MAE': 0.025591442848087526, 'Spearman': 0.26671474467817263, 'Pearson': 0.32733299812691524}",lasso_baseline_LPM_emb_0521_170ep,L2,7.358487429400472,0.003958792546906814,0.025591442848087526,0.26671474467817263,0.32733299812691524,MCF7
2,expression/pert_prediction_sciplex3_regression,A549.0,"{'primary_metric': 'L2', 'L2': 7.695461032572353, 'MSE': 0.004099618222665194, 'MAE': 0.027170925649143113, 'Spearman': 0.23633055321614238, 'Pearson': 0.3205023190019841}",knn_baseline_LPM_emb_0521_170ep,L2,7.695461032572353,0.004099618222665194,0.027170925649143113,0.23633055321614238,0.3205023190019841,A549
3,expression/pert_prediction_sciplex3_regression,A549.0,"{'primary_metric': 'L2', 'L2': 7.585750316859115, 'MSE': 0.0038880681807293457, 'MAE': 0.027097319895160423, 'Spearman': 0.2414747395961728, 'Pearson': 0.3401932011811699}",lasso_baseline_LPM_emb_0521_170ep,L2,7.585750316859115,0.0038880681807293457,0.027097319895160423,0.2414747395961728,0.3401932011811699,A549
4,expression/pert_prediction_sciplex3_regression,K562.0,"{'primary_metric': 'L2', 'L2': 7.288166178078282, 'MSE': 0.003342184839866763, 'MAE': 0.026942364810029335, 'Spearman': 0.23169012778110679, 'Pearson': 0.33287234815340305}",knn_baseline_LPM_emb_0521_170ep,L2,7.288166178078282,0.003342184839866763,0.026942364810029335,0.23169012778110679,0.33287234815340305,K562
5,expression/pert_prediction_sciplex3_regression,K562.0,"{'primary_metric': 'L2', 'L2': 7.183333619400313, 'MSE': 0.0032025391279023804, 'MAE': 0.026766734838451975, 'Spearman': 0.24361278102246878, 'Pearson': 0.3563323889830073}",lasso_baseline_LPM_emb_0521_170ep,L2,7.183333619400313,0.0032025391279023804,0.026766734838451975,0.24361278102246878,0.3563323889830073,K562
6,expression/pert_prediction_sciplex3_regression,MCF7.1,"{'primary_metric': 'L2', 'L2': 7.290122120619653, 'MSE': 0.0040765659301035765, 'MAE': 0.024594407307837764, 'Spearman': 0.2579750802552774, 'Pearson': 0.330248186878403}",knn_baseline_LPM_emb_0521_170ep,L2,7.290122120619653,0.0040765659301035765,0.024594407307837764,0.2579750802552774,0.330248186878403,MCF7
7,expression/pert_prediction_sciplex3_regression,MCF7.1,"{'primary_metric': 'L2', 'L2': 7.329732491675468, 'MSE': 0.0039022234313463144, 'MAE': 0.02496571071953557, 'Spearman': 0.24948955600863598, 'Pearson': 0.31875338403148723}",lasso_baseline_LPM_emb_0521_170ep,L2,7.329732491675468,0.0039022234313463144,0.02496571071953557,0.24948955600863598,0.31875338403148723,MCF7
8,expression/pert_prediction_sciplex3_regression,A549.1,"{'primary_metric': 'L2', 'L2': 7.841357269590514, 'MSE': 0.0041570527430614245, 'MAE': 0.027442230834596803, 'Spearman': 0.23198995622849589, 'Pearson': 0.3201532910589064}",knn_baseline_LPM_emb_0521_170ep,L2,7.841357269590514,0.0041570527430614245,0.027442230834596803,0.23198995622849589,0.3201532910589064,A549
9,expression/pert_prediction_sciplex3_regression,A549.1,"{'primary_metric': 'L2', 'L2': 7.828928332731869, 'MSE': 0.004055546975754764, 'MAE': 0.027600771349482082, 'Spearman': 0.22805086241904218, 'Pearson': 0.3194617592824851}",lasso_baseline_LPM_emb_0521_170ep,L2,7.828928332731869,0.004055546975754764,0.027600771349482082,0.22805086241904218,0.3194617592824851,A549
