,dataset,fold,metrics,name,roc_auc,average_precision,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,cell_line,quantile
0,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.21693764626979828, 'average_precision': 0.72636479139328, 'f1_score': 0.6768105626106262, 'recall': 0.6831700801849365, 'precision': 0.6776236295700073, 'primary_metric': 'f1_score'}",PCA.logFC_v1_64,0.21693764626979828,0.72636479139328,0.6768105626106262,0.6831700801849365,0.6776236295700073,,,f1_score,CVCL_0320,
1,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.19891998171806335, 'average_precision': 0.7163823843002319, 'f1_score': 0.6657951474189758, 'recall': 0.6698493361473083, 'precision': 0.6700391173362732, 'primary_metric': 'f1_score'}",PCA.t_v1_64,0.19891998171806335,0.7163823843002319,0.6657951474189758,0.6698493361473083,0.6700391173362732,,,f1_score,CVCL_0320,
2,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.23509220778942108, 'average_precision': 0.7357598543167114, 'f1_score': 0.6798438429832458, 'recall': 0.6879703998565674, 'precision': 0.6825359463691711, 'primary_metric': 'f1_score'}",random,0.23509220778942108,0.7357598543167114,0.6798438429832458,0.6879703998565674,0.6825359463691711,,,f1_score,CVCL_0320,
3,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.35002756118774414, 'average_precision': 0.8564440608024597, 'f1_score': 0.7587462663650513, 'recall': 0.7660804390907288, 'precision': 0.7680048942565918, 'primary_metric': 'f1_score'}",pca,0.35002756118774414,0.8564440608024597,0.7587462663650513,0.7660804390907288,0.7680048942565918,,,f1_score,CVCL_0320,
4,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.1954389214515686, 'average_precision': 0.7202866077423096, 'f1_score': 0.6721397042274475, 'recall': 0.6763629913330078, 'precision': 0.6783354878425598, 'primary_metric': 'f1_score'}",PCA.t_v2_64,0.1954389214515686,0.7202866077423096,0.6721397042274475,0.6763629913330078,0.6783354878425598,,,f1_score,CVCL_0320,
5,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.20997470617294312, 'average_precision': 0.7285805344581604, 'f1_score': 0.6810780167579651, 'recall': 0.6874103546142578, 'precision': 0.6850318312644958, 'primary_metric': 'f1_score'}",PCA.logFC_v2_64,0.20997470617294312,0.7285805344581604,0.6810780167579651,0.6874103546142578,0.6850318312644958,,,f1_score,CVCL_0320,
6,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.21094705164432526, 'average_precision': 0.7257573008537292, 'f1_score': 0.6767618060112, 'recall': 0.684928834438324, 'precision': 0.6767073273658752, 'primary_metric': 'f1_score'}",PCA.logFC_v2_128,0.21094705164432526,0.7257573008537292,0.6767618060112,0.684928834438324,0.6767073273658752,,,f1_score,CVCL_0320,
7,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.21361348032951355, 'average_precision': 0.7277942299842834, 'f1_score': 0.6764079332351685, 'recall': 0.6842267513275146, 'precision': 0.6824612021446228, 'primary_metric': 'f1_score'}",PCA.t_v2_128,0.21361348032951355,0.7277942299842834,0.6764079332351685,0.6842267513275146,0.6824612021446228,,,f1_score,CVCL_0320,
8,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.2141839563846588, 'average_precision': 0.7299174070358276, 'f1_score': 0.6800452470779419, 'recall': 0.6872463226318359, 'precision': 0.6854907870292664, 'primary_metric': 'f1_score'}",PCA.logFC_v3_64,0.2141839563846588,0.7299174070358276,0.6800452470779419,0.6872463226318359,0.6854907870292664,,,f1_score,CVCL_0320,
9,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.19857284426689148, 'average_precision': 0.7195472121238708, 'f1_score': 0.6685497164726257, 'recall': 0.6725479960441589, 'precision': 0.6751691102981567, 'primary_metric': 'f1_score'}",PCA.t_v3_64,0.19857284426689148,0.7195472121238708,0.6685497164726257,0.6725479960441589,0.6751691102981567,,,f1_score,CVCL_0320,
10,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.20034818351268768, 'average_precision': 0.7202404737472534, 'f1_score': 0.6742894649505615, 'recall': 0.6817217469215393, 'precision': 0.6765987277030945, 'primary_metric': 'f1_score'}",PCA.t_v3_128,0.20034818351268768,0.7202404737472534,0.6742894649505615,0.6817217469215393,0.6765987277030945,,,f1_score,CVCL_0320,
11,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.21484316885471344, 'average_precision': 0.7290886640548706, 'f1_score': 0.680467426776886, 'recall': 0.6892720460891724, 'precision': 0.681049644947052, 'primary_metric': 'f1_score'}",PCA.logFC_v3_128,0.21484316885471344,0.7290886640548706,0.680467426776886,0.6892720460891724,0.681049644947052,,,f1_score,CVCL_0320,
12,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.21250291168689728, 'average_precision': 0.7269842624664307, 'f1_score': 0.6774744987487793, 'recall': 0.6836704015731812, 'precision': 0.6818657517433167, 'primary_metric': 'f1_score'}",PCA.logFC_v4_64,0.21250291168689728,0.7269842624664307,0.6774744987487793,0.6836704015731812,0.6818657517433167,,,f1_score,CVCL_0320,
13,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.19024880230426788, 'average_precision': 0.7152132987976074, 'f1_score': 0.6634577512741089, 'recall': 0.667689859867096, 'precision': 0.6735730767250061, 'primary_metric': 'f1_score'}",PCA.t_v4_64,0.19024880230426788,0.7152132987976074,0.6634577512741089,0.667689859867096,0.6735730767250061,,,f1_score,CVCL_0320,
14,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.20342403650283813, 'average_precision': 0.7218145132064819, 'f1_score': 0.6735921502113342, 'recall': 0.6815816164016724, 'precision': 0.6768200397491455, 'primary_metric': 'f1_score'}",PCA.t_v4_128,0.20342403650283813,0.7218145132064819,0.6735921502113342,0.6815816164016724,0.6768200397491455,,,f1_score,CVCL_0320,
