,dataset,fold,metrics,name,roc_auc,average_precision,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,cell_line,quantile
0,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.29145151376724243, 'average_precision': 0.6514979004859924, 'f1_score': 0.6009732484817505, 'recall': 0.6062538027763367, 'precision': 0.6061922907829285, 'primary_metric': 'f1_score'}",random,0.29145151376724243,0.6514979004859924,0.6009732484817505,0.6062538027763367,0.6061922907829285,,,f1_score,CVCL_0023,
1,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.4512379467487335, 'average_precision': 0.8079790472984314, 'f1_score': 0.7199767231941223, 'recall': 0.7320330739021301, 'precision': 0.7280256748199463, 'primary_metric': 'f1_score'}",pca,0.4512379467487335,0.8079790472984314,0.7199767231941223,0.7320330739021301,0.7280256748199463,,,f1_score,CVCL_0023,
2,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.2811363935470581, 'average_precision': 0.6472424864768982, 'f1_score': 0.6000742316246033, 'recall': 0.6062048673629761, 'precision': 0.6018885970115662, 'primary_metric': 'f1_score'}",ECFP:2_pkl,0.2811363935470581,0.6472424864768982,0.6000742316246033,0.6062048673629761,0.6018885970115662,,,f1_score,CVCL_0023,
3,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.3189498484134674, 'average_precision': 0.6667520403862, 'f1_score': 0.6126813888549805, 'recall': 0.620037317276001, 'precision': 0.6164496541023254, 'primary_metric': 'f1_score'}",LPM_emb,0.3189498484134674,0.6667520403862,0.6126813888549805,0.620037317276001,0.6164496541023254,,,f1_score,CVCL_0023,
4,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.29229801893234253, 'average_precision': 0.6542974710464478, 'f1_score': 0.6061281561851501, 'recall': 0.6107760071754456, 'precision': 0.613332211971283, 'primary_metric': 'f1_score'}",ChemBERTa-77M-MTR,0.29229801893234253,0.6542974710464478,0.6061281561851501,0.6107760071754456,0.613332211971283,,,f1_score,CVCL_0023,
5,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.28429684042930603, 'average_precision': 0.6445229649543762, 'f1_score': 0.594386875629425, 'recall': 0.5968944430351257, 'precision': 0.6031007766723633, 'primary_metric': 'f1_score'}",ChemBERTa-77M-MLM,0.28429684042930603,0.6445229649543762,0.594386875629425,0.5968944430351257,0.6031007766723633,,,f1_score,CVCL_0023,
6,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.2966543734073639, 'average_precision': 0.6573948860168457, 'f1_score': 0.6112024188041687, 'recall': 0.616875410079956, 'precision': 0.6153181195259094, 'primary_metric': 'f1_score'}",chatgpt,0.2966543734073639,0.6573948860168457,0.6112024188041687,0.616875410079956,0.6153181195259094,,,f1_score,CVCL_0023,
7,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.28056800365448, 'average_precision': 0.6456746459007263, 'f1_score': 0.5965165495872498, 'recall': 0.6010470390319824, 'precision': 0.6043117046356201, 'primary_metric': 'f1_score'}",maccs,0.28056800365448,0.6456746459007263,0.5965165495872498,0.6010470390319824,0.6043117046356201,,,f1_score,CVCL_0023,
8,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.2943810224533081, 'average_precision': 0.6566049456596375, 'f1_score': 0.6079567670822144, 'recall': 0.6159466505050659, 'precision': 0.6107397675514221, 'primary_metric': 'f1_score'}",topological,0.2943810224533081,0.6566049456596375,0.6079567670822144,0.6159466505050659,0.6107397675514221,,,f1_score,CVCL_0023,
9,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.30523958802223206, 'average_precision': 0.6603738069534302, 'f1_score': 0.6070992946624756, 'recall': 0.6121103763580322, 'precision': 0.6100671291351318, 'primary_metric': 'f1_score'}",MiniMol,0.30523958802223206,0.6603738069534302,0.6070992946624756,0.6121103763580322,0.6100671291351318,,,f1_score,CVCL_0023,
